12	16	-0.07	0.134
16	20	-0.015	0.13
20	25	0.081	0.125
25	32	0.21	0.123
32	41	0.296	0.124
41	52	0.466	0.122
52	66	0.611	0.127
66	84	0.699	0.122
84	106	0.913	0.12
106	135	1.012	0.128
135	171	1.204	0.121
171	217	1.257	0.132
217	275	1.29	0.131
275	348	1.477	0.145
348	442	1.908	0.168
442	560	1.846	0.182
560	710	1.856	0.202
710	899	2.765	0.243
1059	1247	1.892	0.158
1247	1468	2.208	0.162
1468	1728	2.375	0.179
1728	2035	2.088	0.193
2035	2396	2.361	0.208
2396	2821	2.325	0.212
2821	3321	2.242	0.255
3321	3910	2.334	0.273
3910	4603	3.08	0.29
4603	5419	3.538	0.382
5419	6380	4.306	0.409
6380	7511	4.142	0.483
7511	8843	4.435	0.542
8843	10411	2.681	0.653
10411	12256	1.67	0.803
12256	14429	1.962	0.906
14429	16988	-0.223	1.03
16988	20000	1.637	0.858
